Feature,Coefficient
xslg,-18.200448785613972
pa,-17.81378544622195
ab,17.508886913440975
xiso,15.814142534337691
xobp,9.815574164395862
xwoba,-5.452933247592062
on_base_percent,-4.637093751328644
batting_avg,4.303712103512227
xba,3.520448433259355
walk,2.051768693407263
bb_percent,-1.6052598604538113
avg_hyper_speed,1.439674168511374
avg_best_speed,-1.242311938896558
on_base_plus_slg,-0.9949214702680416
slg_percent,0.9376646209745042
squared_up_swing,-0.8483893501341072
squared_up_contact,0.6217260084398152
strikeout,-0.47673791468553
woba,-0.35181279895657885
avg_swing_speed,-0.3399773474158347
triple,-0.3395105240521193
single,-0.3134329022257503
home_run,0.2761457340086937
whiff_percent,-0.2217303640282129
avg_swing_length,0.20906562358763872
hit,-0.17536262069949632
swords,-0.12956133767371344
k_percent,-0.111625326354269
sweet_spot_percent,0.11048379016627186
blasts_swing,0.09493960638197163
blasts_contact,0.09487804919662816
fast_swing_rate,-0.09390356177238929
launch_angle_avg,-0.08169780084353367
double,-0.07400938670537689
exit_velocity_avg,-0.05830291862565918
hard_hit_percent,0.04915389547680071
barrel_batted_rate,0.045331639123872634
swing_percent,-0.026675827871697227
