Feature,Raw Score,Normalized Score
swing_percent,43.166283,1.0
fast_swing_rate,42.24828,0.8417855
walk,41.69092,0.7457269
bb_percent,41.49237,0.7115073
exit_velocity_avg,41.405304,0.69650173
single,41.380123,0.6921619
k_percent,41.37378,0.69106853
hit,41.342228,0.6856308
strikeout,41.298973,0.678176
swords,41.140564,0.65087473
avg_best_speed,41.132416,0.64947045
ab,40.913483,0.6117381
pa,40.795776,0.5914518
batting_avg,40.647583,0.56591123
whiff_percent,40.5194,0.54381967
squared_up_contact,40.517754,0.54353565
hard_hit_percent,40.423836,0.52734923
home_run,40.388454,0.5212514
avg_hyper_speed,40.32527,0.510362
squared_up_swing,40.077362,0.46763575
xiso,39.998085,0.45397264
xwoba,39.89098,0.43551344
xba,39.863083,0.43070552
double,39.811443,0.42180562
woba,39.791553,0.41837767
blasts_contact,39.780144,0.41641125
launch_angle_avg,39.745052,0.41036338
xobp,39.491608,0.3666831
avg_swing_speed,39.308952,0.3352031
blasts_swing,39.25879,0.32655767
on_base_percent,38.878357,0.26099157
slg_percent,38.765026,0.2414594
triple,38.740284,0.2371952
barrel_batted_rate,38.706844,0.23143199
xslg,38.627956,0.21783593
on_base_plus_slg,38.268887,0.15595156
sweet_spot_percent,38.032597,0.11522784
avg_swing_length,37.364014,0.0
