Feature,Importance
single,0.0873128480865798
sweet_spot_percent,0.052466888739596665
hit,0.047439389935979515
k_percent,0.04194672632875918
bb_percent,0.03907952323459146
swing_percent,0.037519851883392755
p_game,0.033928822912246186
swords,0.02987109541577085
launch_angle_avg,0.02903535526256413
hard_hit_percent,0.028978622335747516
avg_best_speed,0.027944334118354952
whiff_percent,0.026440554856129395
double,0.025996776778605804
xobp,0.025601781796167657
strikeout,0.02519431263057207
home_run,0.024530086399973828
p_formatted_ip,0.024116479783594495
squared_up_swing,0.023335541318576788
squared_up_contact,0.02300487893087631
blasts_contact,0.021769256337999296
barrel_batted_rate,0.021753886477175625
fast_swing_rate,0.021368381090603544
walk,0.02094071573471522
xba,0.02024346068048077
avg_swing_length,0.019629213639254326
batting_avg,0.019411760748257578
exit_velocity_avg,0.019058975299681265
slg_percent,0.01888657658931764
pa,0.018605431373493946
xiso,0.017928218553331928
on_base_percent,0.01743572752905687
avg_swing_speed,0.01630733918045038
ab,0.01527273814400862
avg_hyper_speed,0.01389487871432269
blasts_swing,0.013570752352503603
on_base_plus_slg,0.013191575013737132
xwoba,0.010756597137495333
xslg,0.010638585800712162
triple,0.008071849254758264
woba,0.007520209600564454
